ID,SMILES
SBSM117925,S(=O)(=O)(N3(CCN(C(=O)C2(OC1(=C(C=CC=C1)OC2)))CC3))C4(=CC=C(OC)C=C4),DNMT1
SBSM125273,S(=O)(=O)(NC1(=C(C(=O)O)C=CC=C1))C3(=CC([N+](=O)[O-])=C(NN=CC2(=CC=C(OCC)C=C2))C=C3),DNMT1
SBSM22678,FC4(=CC=C(C=NNC(=O)C=1(C=3(C(N=C(C=1)C=2(OC=CC=2))=CC=CC=3)))C=C4),DNMT1
SBSM128899,ClC4(=CC=C(OCC(=O)N1(C(C(=O)N)CC2(C1)(ON=C(C2)C3(=CC(NC(=O)C(=C)C)=CC=C3))))C=C4),DNMT1
SBSM114801,ClC4(=CC=C(C3(N1(C(SC(C1=O)=CC2(=CC=C(OCC(=O)O)C=C2))=NC(=C3C(=O)OC(C)C)C)))C=C4),DNMT1
SBSM20437,[Br]C=1(C(=O)OC=C(C=1)C(=O)N2(CC(CCC2)(C)C)),DNMT1
SBSM496443,O=C(O)C1(=C(C=CC=C1)C=NNC(=O)C=2(C=4(C(N=C(C=2)C=3(OC=CC=3))=CC=CC=4))),DNMT1
SBSM100476,[Br]C3(=CC=C(COC2(=C(OCC)C=C(C=C(C#N)C(=O)NC1(=CC(C(=O)O)=CC=C1))C=C2))C=C3),DNMT1
SBSM481962,S(CC5(OC(N2(C1(=NC=NC(=C1N=C2)NCCC4(=CC=C(C3(=CC=CC=C3))C=C4))))C(C5O)O))CCC(N)C(=O)O,DNMT1
SBSM194902,ClC3(=C(C(=O)OC2(=CC=C(C=NNC(=O)C1(=CC(O)=CC(=C1)O))C=C2))C=CC=C3),DNMT1
SBSM126025,S(=O)(=O)(NC1(=C(C(=O)O)C=CC=C1))C3(=CC([N+](=O)[O-])=C(NN=CC2(=CC(OC)=C(OCC=C)C=C2))C=C3),DNMT1
SBSM100822,O=C1(C(O)(C2(C(C(=O)C=CC=CC)=C(C1(C(C(=O)C=CC=CC)C2C3(OC(O)=C(C3=O)C)(C))C)O))C),DNMT1
SBSM110975,S(=O)(=O)(NC=1(N(C3(=NC4(=CC=CC=C4(N=C3(C=1S(=O)(=O)C2(=CC=CC=C2))))))C5(CCCCC5)))C6(=CC=CC=C6),DNMT1
SBSM118502,[Br]C3(=CC=C(C=CC(=O)NC(=S)NC2(=CC=C(S(=O)(=O)NC=1(SC=CN=1))C=C2))C=C3),DNMT1
SBSM137070,[Br]C4(=CC=C(C=3(N=C(NC(=O)CSC=1(N=C(O)C2(=CC=CC=C2(N=1))))SC=3))C=C4),DNMT1
