Data set,Method,Fingerprint,Confidence level (%),Recovery Rate,Area Under ROC Curve
BRD2,SB-DFP,ECFP4,99.9999,0.598214285714,0.986783743303572
BRD2,SB-DFP,ECFP4,99.9999,0.566964285714,0.973921676339286
BRD2,SB-DFP,ECFP4,99.9999,0.558035714286,0.864372962053571
BRD2,SB-DFP,ECFP4,99.9999,0.575892857143,0.908363180803572
BRD2,SB-DFP,ECFP4,99.9999,0.830357142857,0.992588069196429
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.893338810267857
BRD2,SB-DFP,ECFP4,99.9999,0.638392857143,0.957726013392857
BRD2,SB-DFP,ECFP4,99.9999,0.571428571429,0.969553330357143
BRD2,SB-DFP,ECFP4,99.9999,0.544642857143,0.900643986607143
BRD2,SB-DFP,ECFP4,99.9999,0.660714285714,0.947223517857143
BRD2,SB-DFP,ECFP4,99.9999,0.598214285714,0.975946191964285
BRD2,SB-DFP,ECFP4,99.9999,0.575892857143,0.934054348214286
BRD2,SB-DFP,ECFP4,99.9999,0.78125,0.994487301339286
BRD2,SB-DFP,ECFP4,99.9999,0.678571428571,0.905181957589286
BRD2,SB-DFP,ECFP4,99.9999,0.584821428571,0.913987225446429
BRD2,SB-DFP,ECFP4,99.9999,0.558035714286,0.858881537946429
BRD2,SB-DFP,ECFP4,99.9999,0.794642857143,0.992082950892857
BRD2,SB-DFP,ECFP4,99.9999,0.589285714286,0.9789040625
BRD2,SB-DFP,ECFP4,99.9999,0.575892857143,0.910467122767857
BRD2,SB-DFP,ECFP4,99.9999,0.616071428571,0.90267109375
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.91843478125
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.987907020089286
BRD2,SB-DFP,ECFP4,99.9999,0.758928571429,0.991256212053571
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.941470667410714
BRD2,SB-DFP,ECFP4,99.9999,0.647321428571,0.967121265625
BRD2,SB-DFP,ECFP4,99.9999,0.558035714286,0.875310520089286
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.90076021875
BRD2,SB-DFP,ECFP4,99.9999,0.5625,0.951158118303571
BRD2,SB-DFP,ECFP4,99.9999,0.433035714286,0.987739870535714
BRD2,SB-DFP,ECFP4,99.9999,0.616071428571,0.918437774553571
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.6011801875
BRD2,SB-DFP,MACCS,99.9999,0,0.696515636160714
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.600976299107143
BRD2,SB-DFP,MACCS,99.9999,0,0.692849709821429
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.601263977678571
BRD2,SB-DFP,MACCS,99.9999,0,0.703779580357143
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.596749930803572
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.792112841517857
BRD2,SB-DFP,MACCS,99.9999,0,0.702061613839286
BRD2,SB-DFP,MACCS,99.9999,0,0.70415640625
BRD2,SB-DFP,MACCS,99.9999,0,0.7080775625
BRD2,SB-DFP,MACCS,99.9999,0,0.702420924107143
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.702502660714286
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.706963095982143
BRD2,SB-DFP,MACCS,99.9999,0,0.704442955357143
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.601287707589286
BRD2,SB-DFP,MACCS,99.9999,0,0.702437421875
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.672239232142857
